2524,1459,,,-0.51,,,-8
2525,1379,,,-5.98,,,-88
2526,1508,,,2.81,,,41
2527,1406,,,-4.15,,,-61
2528,1450,,,-1.14,,,-17
2529,1411,,,-3.83,,,-56
2530,1372,,,-6.47,,,-95
2531,1570,,,7.04,,,103
2532,1300,,,-11.38,,,-167
2533,1438,,,-1.98,,,-29
2534,1329,,,-9.44,,,-138
2535,1277,,,-12.94,,,-190
2536,1284,,,-12.48,,,-183
2537,1604,,,9.34,,,137
2538,1523,,,3.85,,,56
2539,1599,,,8.98,,,132
2540,1329,,,-9.38,,,-138
2541,1346,,,-8.25,,,-121
2542,1675,,,14.2,,,208
2543,1680,,,14.51,,,213
2544,1558,,,6.19,,,91
2545,1536,,,4.69,,,69
2546,1378,,,-6.03,,,-89
2547,1342,,,-8.53,,,-125
2548,1359,,,-7.35,,,-108
2549,1563,,,6.54,,,96
2550,1470,,,0.22,,,3
2551,1543,,,5.2,,,76
2552,1403,,,-4.33,,,-64
2553,1436,,,-2.14,,,-31
2554,1824,,,24.36,,,357
2555,1475,,,0.52,,,8
2556,1569,,,6.99,,,102
2557,1370,,,-6.6,,,-97
2558,1251,,,-14.73,,,-216
